Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.010574069789843633,0.00915492779677543,20.89191661477089,3.028570236670987,1000
1,0.00516865397116635,0.00540586620581607,23.928614399433137,2.692749047142386,1000
2,0.010558922111638822,0.008630301613068917,20.723585867881773,2.7374333044655734,1000
3,0.010376274908077902,0.007566464595499134,20.74355274319649,2.739274127418267,1000
4,0.009775832654093392,0.006696704018312697,20.807025636434556,2.3559405095887556,1000
5,0.01744439342757687,0.010348467370000603,18.254396792650223,2.434501114032157,1000
6,0.01142632696579676,0.009269052768894328,20.468610923290253,2.924099906625215,1000
7,0.008973700371803716,0.004861572719269932,21.031976383924484,2.1925458188570643,1000
8,0.017112753721186893,0.009147250936620915,18.21353699564934,2.185617350437275,1000
9,0.010719894432695583,0.005988846026180815,20.162880372405052,1.9509807912462263,1000
